,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
119,Downtown,45.421423299999994,-75.698021,D'Arcy McGee's,45.423409256261934,-75.69585093770797,Restaurant
120,Downtown,45.421423299999994,-75.698021,The Scone Witch,45.420009223140475,-75.69345634033205,Café
121,Downtown,45.421423299999994,-75.698021,Grounded,45.419026896811886,-75.69601295563841,Café
122,Downtown,45.421423299999994,-75.698021,Escape Manor,45.420665269693984,-75.70034643341528,Theme Park
123,Downtown,45.421423299999994,-75.698021,Ottawa Locks / Écluses d’Ottawa,45.42570059248777,-75.6963002815094,Historic Site
124,Downtown,45.421423299999994,-75.698021,Ad Mare,45.42010028748938,-75.69780809219424,Food Truck
125,Downtown,45.421423299999994,-75.698021,Shawarma Express,45.42092732628616,-75.69638282060623,Middle Eastern Restaurant
126,Downtown,45.421423299999994,-75.698021,Bytown Museum,45.425807725793014,-75.69730048850654,Museum
127,Downtown,45.421423299999994,-75.698021,Bijou,45.419289743845695,-75.69972956823142,Lounge
128,Downtown,45.421423299999994,-75.698021,GoodLife Fitness Ottawa Queen and Bank,45.421146,-75.700422,Gym
129,Downtown,45.421423299999994,-75.698021,Ottawa Public Library - Main Branch,45.42026371162985,-75.69534202223649,Library
130,Downtown,45.421423299999994,-75.698021,Thai Express,45.421624,-75.697472,Restaurant
131,Downtown,45.421423299999994,-75.698021,Sobeys Urban Fresh Metcalfe,45.418355,-75.693523,Grocery Store
132,Downtown,45.421423299999994,-75.698021,Le Moulin de Provence,45.422286090032685,-75.69698006568451,Café
133,Downtown,45.421423299999994,-75.698021,Tim Hortons,45.4212528,-75.7007798,Coffee Shop
134,Downtown,45.421423299999994,-75.698021,India Palace,45.419410578839354,-75.70201736307658,Indian Restaurant
135,Downtown,45.421423299999994,-75.698021,Winners,45.4218124,-75.6993954,Department Store
136,Downtown,45.421423299999994,-75.698021,Second Cup,45.42099219896665,-75.69545733404408,Coffee Shop
137,Downtown,45.421423299999994,-75.698021,Shoppers Drug Mart,45.421624,-75.697472,Pharmacy
138,Downtown,45.421423299999994,-75.698021,Starbucks,45.419441,-75.697475,Coffee Shop
139,Downtown,45.421423299999994,-75.698021,Swizzles,45.419489849387354,-75.70236734573768,Karaoke Bar
140,Downtown,45.421423299999994,-75.698021,BeaverTails,45.422469820252594,-75.69183554357707,Dessert Shop
141,Downtown,45.421423299999994,-75.698021,Wilfrid's,45.42516125429346,-75.69521635245835,Restaurant
142,Downtown,45.421423299999994,-75.698021,New Generation Sushi,45.4206166178806,-75.69399209009777,Sushi Restaurant
143,Downtown,45.421423299999994,-75.698021,RBC Royal Bank,45.420484691705866,-75.70053844919323,Bank
144,Downtown,45.421423299999994,-75.698021,Starbucks,45.420496,-75.70009,Coffee Shop
145,Downtown,45.421423299999994,-75.698021,Sparks Street Mall,45.422319073337476,-75.69871532170684,Plaza
146,Downtown,45.421423299999994,-75.698021,Japanese Village,45.420336923675265,-75.69464898699768,Japanese Restaurant
147,Downtown,45.421423299999994,-75.698021,Burrito Sensei,45.417637,-75.69813,Sushi Restaurant
148,Downtown,45.421423299999994,-75.698021,Kasbah Village,45.419251,-75.697328,Moroccan Restaurant
149,Downtown,45.421423299999994,-75.698021,Gabriel Pizza,45.42063905846063,-75.69559504954792,Pizza Place
150,Downtown,45.421423299999994,-75.698021,Lord Elgin Hotel,45.4214098064857,-75.69342710224562,Hotel
151,Downtown,45.421423299999994,-75.698021,Green Rebel,45.42072121963156,-75.69980752071004,Salad Place
152,Downtown,45.421423299999994,-75.698021,C'est Japon À Suisha (Suisha Gardens),45.41958376008364,-75.69897699082505,Japanese Restaurant
153,Downtown,45.421423299999994,-75.698021,Second Cup,45.41953367413603,-75.6997828041872,Coffee Shop
154,Downtown,45.421423299999994,-75.698021,Paradise Poké,45.419155,-75.69972,Hawaiian Restaurant
155,Downtown,45.421423299999994,-75.698021,Nando's,45.42223612,-75.69453827,Portuguese Restaurant
156,Downtown,45.421423299999994,-75.698021,Tosca Restaurant,45.418880828620146,-75.69674170798635,Italian Restaurant
157,Downtown,45.421423299999994,-75.698021,Freshii,45.42276576281337,-75.69733243055389,Salad Place
158,Downtown,45.421423299999994,-75.698021,Subway,45.42159194855543,-75.6981729002441,Sandwich Place
159,Downtown,45.421423299999994,-75.698021,RBC Royal Bank,45.423050343358,-75.69672279838727,Bank
160,Downtown,45.421423299999994,-75.698021,Edoko Japanese Steak House,45.4226047189657,-75.69587588310242,Japanese Restaurant
161,Downtown,45.421423299999994,-75.698021,Second Cup,45.41876161583115,-75.69838523638386,Coffee Shop
162,Downtown,45.421423299999994,-75.698021,Tim Hortons,45.41905596744952,-75.69845348596567,Coffee Shop
163,Downtown,45.421423299999994,-75.698021,Express Asian Food,45.41755238422919,-75.69836574591018,Sushi Restaurant
164,Downtown,45.421423299999994,-75.698021,Starbucks,45.41927,-75.69952,Coffee Shop
165,Downtown,45.421423299999994,-75.698021,Compact Music,45.41746880551266,-75.69818609466319,Record Shop
166,Downtown,45.421423299999994,-75.698021,Morning Owl,45.41910483596683,-75.69944569392997,Café
167,Downtown,45.421423299999994,-75.698021,Green Rebel,45.41887562252505,-75.70246528853862,Salad Place
168,Downtown,45.421423299999994,-75.698021,Ralph's Sports Bar & Fat Albert's,45.419402,-75.69666,Sandwich Place
169,Downtown,45.421423299999994,-75.698021,Fandom II,45.420497,-75.694336,Toy / Game Store
